"OBJECTID","YEAR_","STATE","AGENCY","UNIT_ID","FIRE_NAME","INC_NUM","ALARM_DATE","CONT_DATE","CAUSE","C_METHOD","OBJECTIVE","GIS_ACRES","DECADES"
25771,1961,"CA","CDF","SCU","WESTERN PACIFIC RR #1","00000000","1961/06/14 00:00:01+00","",14,NA,1,475.98587,1960
25772,1961,"CA","CDF","BTU","SKYWAY","00000000","1961/09/21 00:00:01+00","",14,NA,1,638.27917,1960
25773,1961,"CA","CDF","SCU","AUSTRIAN GULCH","00000000","1961/07/18 00:00:01+00","",14,NA,1,9071.4375,1960
25774,1961,"CA","CDF","FKU","EUCALYPTUS RESORT","00000000","1961/07/18 00:00:01+00","",14,NA,1,326.3757,1960
25775,1961,"CA","CDF","MVU","WILDCAT","00000000","1961/09/03 00:00:01+00","",14,NA,1,1604.4602,1960
25776,1961,"CA","CDF","RRU"," ","00000000","","",14,NA,1,969.77203,1960
25777,1961,"CA","CDF","RRU","DUCT","00000000","1961/08/16 00:00:01+00","",14,NA,1,1038.6807,1960
25778,1961,"CA","CCO","ORC","OUTSIDE ORIGIN #2","00000000","1961/01/19 00:00:01+00","",14,NA,1,5019.127,1960
25779,1961,"CA","CCO","ORC","OUTSIDE ORIGIN #6","00000000","1961/09/05 00:00:01+00","",14,NA,1,339.22745,1960
25780,1961,"CA","USF","BDF"," ","00000000","","",14,NA,1,201.41956,1960
25781,1961,"CA","CCO","VNC","DONLON & FLETCHER","00000000","1961/01/15 00:00:01+00","",14,NA,1,2426.4817,1960
25782,1961,"CA","CDF","SLU","CUESTA","00000000","1961/07/06 00:00:01+00","",14,NA,1,215.80562,1960
25783,1961,"CA","CDF","SLU","FRIIS","00000000","1961/10/03 00:00:01+00","",9,NA,1,2279.8979,1960
25784,1961,"CA","CDF","SLU","SUMMIT","00000000","1961/07/20 00:00:01+00","",14,NA,1,514.31281,1960
25785,1961,"CA","CDF","BEU","HEINER","00000000","1961/07/09 00:00:01+00","",14,NA,1,728.09259,1960
25786,1961,"CA","CDF","BEU","LYLES #2","00000000","1961/08/19 00:00:01+00","",14,NA,1,1250.401,1960
25787,1961,"CA","CDF","FKU","WELDON","00000000","1961/08/06 00:00:01+00","",14,NA,1,357.76093,1960
25788,1961,"CA","CDF","MVU","BARTA","00000000","1961/02/24 00:00:01+00","",14,NA,1,855.43671,1960
25876,1952,"CA","CDF","RRU"," ","00000000","","",14,NA,1,896.80341,1950
